Title,Link,Author,Abstract,Item Type,Subjects,OfficalLink,Divisions,year
"Machine Learning and Remote Sensing Application for Extreme Climate Evaluation: Example of Flood Susceptibility in the Hue Province, Central Vietnam Region",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4750/,"Ha, Minh CuongVu, Phuong LanNguyen, Huu DuyHoang, Tich PhucDang, Dinh DucDinh, Thi Bao HoaŞerban, GheorgheRus, IoanBrețcan, PetrePhD Minh Cuong HA","Floods are the most frequent natural hazard globally and incidences have been increasing in recent years as a result of human activity and global warming, making significant impacts on people&rsquo;s livelihoods and wider socio-economic activities. In terms of the management of the environment and water resources, precise identification is required of areas susceptible to flooding to support planners in implementing effective prevention strategies. The objective of this study is to develop a novel hybrid approach based on Bald Eagle Search (BES), Support Vector Machine (SVM), Random Forest (RF), Bagging (BA) and Multi-Layer Perceptron (MLP) to generate a flood susceptibility map in Thua Thien Hue province, Vietnam. In total, 1621 flood points and 14 predictor variables were used in this study. These data were divided into 60 for model training, 20 for model validation and 20 for testing. In addition, various statistical indices were used to evaluate the performance of the model, such as Root Mean Square Error (RMSE), Receiver Operation Characteristics (ROC), and Mean Absolute Error (MAE). The results show that BES, for the first time, successfully improved the performance of individual models in building a flood susceptibility map in Thua Thien Hue, Vietnam, namely SVM, RF, BA and MLP, with high accuracy (AUC &gt; 0.9). Among the models proposed, BA-BES was most effective with AUC = 0.998, followed by RF-BES (AUC = 0.998), MLP-BES (AUC = 0.998), and SVM-BES (AUC = 0.99). The findings of this research can support the decisions of local and regional authorities in Vietnam and other countries regarding the construction of appropriate strategies to reduce damage to property and human life, particularly in the context of climate change.",Article,"Aerospace Engineering
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4750/1/water-14-01617.pdf,PhD Minh Cuong HA,2022
GNSS-R monitoring of soil moisture dynamics in areas of severe drought: example of Dahra in the Sahelian climatic zone (Senegal),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4815/,"Ha, Minh-CuongDarrozes, JoséLlubes, MurielGrippa, ManuelaRamillien, GuillaumeFrappart, FrédéricBaup, FrédéricTagesson, Håkan TorbernMougin, EricGuiro, IdrissaKergoat, LaurentNguyen, Huu DuySeoane, LuciaDufrechou, GregoryVu, Phuong-LanPhD Minh Cuong HA","With population growth, water will increase in the following decades tremendously. The optimization of water allocation for agriculture requires accurate soil moisture (SM) monitoring. Recent Global Navigation Satellite System Reflectometry (GNSS-R) studies take advantage of continuously emitted navigation signals by the Global Navigation Satellite System (GNSS) constellations to retrieve spatiotemporal soil moisture changes for soil with high clay content. It presents the advantage of sensing a whole surface around a reference GNSS antenna. This article focuses on sandy SM monitoring in the driest condition observed in the study field of Dahra, (Senegal). The area consists of 95% sand and in situ volumetric soil moisture (VSM) range from ~3% to ~5% durinf the dry to the rainy season. Unfortunately, the GNSS signals’ waves penetrated deep into the soil during the dry period and strongly reduced the accuracy of GNSS reflectometry (GNSS-R) surface moisture measurements. However, we obtain VSM estimate at low/medium penetration depth. The correlation reaches 0.9 with VSM error lower than 0.16% for the 5–10-cm-depth probes and achieves excellent temporal monitoring to benefit from the antenna heights directly correlated to spatial resolution. The SM measurement models in our research are potentially valuable tools that contribute to the planning of sustainable agriculture, especially in countries often affected by drought.",Article,Aerospace Engineering,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4815/1/GNSS%20R%20monitoring%20of%20soil%20moisture%20dynamics%20in%20areas%20of%20severe%20drought%20example%20of%20Dahra%20in%20the%20Sahelian%20climatic%20zone%20Senegal.pdf,School of Aerospace Engineering (SAE),2022
An Efficient IDS Using FIS to Detect DDoS in IoT Networks,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4787/,"Hoang, Trong-MinhTran, Nhat-HoangThai, Vu-LongNguyen, Dinh-LongNguyen, Nam-HoangNguyá»�n Nam HoÃ ng","The growing Internet of Things (IoT) applications of today have brought numerous benefits to our lives. In addition, cyber-attacks are growing as a result of increasingly sophisticated and violent attacks. Detection systems that serve as security protection against emerging attacks are also being developed using machine learning techniques. However, many additional challenges continue to emerge as demand for Intrusion Detection System (IDS) deployment at the edge network, where resource-constrained devices exist, continues to increase. These devices require a database with a high level of accuracy for attack detection. This research provides a Fuzzy-based IDS for detecting DDOS attacks with over 99 percent accuracy rate that is deployable on edge computing using the IoT23 dataset.",Conference or Workshop Item (Paper),Electronics and Communications > Communications,,"Advanced Insitute of Engineering and Technology (AVITECH)
Faculty of Electronics and Telecommunications (FET)",2022
Enhanced Teaching-Learning-based Optimization for 3D Path Planning of Multicopter UAVs,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4741/,"Hoang, Van TruongPhung, Manh DuongDr Manh Duong Phung","This paper introduces a new path planning algorithm for unmanned aerial vehicles (UAVs) based on the teaching-learning-based optimization (TLBO) technique. We first define an objective function that incorporates requirements on the path length and constraints on the movement and safe operation of UAVs to convert the path planning into an optimization problem. The optimization algorithm named Multi-subject TLBO is then proposed to minimize the formulated objective function. The algorithm is developed based on TLBO but enhanced with new operations including mutation, elite selection and multi-subject training to improve the solution quality and speed up the convergence rate. Comparison with state-of-the-art algorithms and experiments with real UAVs have been conducted to evaluate the performance of the proposed algorithm. The results confirm its validity and effectiveness in generating optimal, collision-free and flyable paths for UAVs in complex operating environments.",Conference or Workshop Item (Paper),"Aerospace Engineering
Electronics and Communications
Information Technology (IT)
ISI/Scopus indexed conference",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4741/1/edited_Hoang-Phung2022_Chapter_EnhancedTeaching-Learning-Base.pdf,Faculty of Electronics and Telecommunications (FET),2022
Design of a low-cost pressure measurement device: validation and testing,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4729/,"Hung, Tran TheDung, NguyenLe, Anh DinhDr Anh Le Dinh",,Article,"Aerospace Engineering
Engineering Mechanics
ISI-indexed journals",,School of Aerospace Engineering (SAE),2022
The Influence of Spike-Nosed Length on Aerodynamic Drag of a Wing-Projectile Model,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4716/,"Hung, Tran TheLe, Anh DinhMinh, DaoDr Anh Le Dinh",,Article,"Aerospace Engineering
Engineering Mechanics
Scopus-indexed journals",,School of Aerospace Engineering (SAE),2022
"Insights into the gene and protein structures of the CaSWEET family members in chickpea (Cicer arietinum), and their gene expression patterns in different organs under various stress and abscisic acid treatments",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4713/,"La, Viet HongChu, Duc HaTran, Duy CuongKien, Huu NguyenLe, Thi Ngoc QuynhLe, Thi HienCao, Phi BangNguyen, Duc BachNguyen, Quoc TrungLê, Huy HàmTran, Phan Lam SonNguyen, Van LocPham, Cong Tuyen AnhHa, Van ChienHoang, Minh ChinhLe, Duc ThaoPh.D. Ha Chu","‘Sugars Will Eventually be Exported Transporters’ (SWEETs) are a group of sugar transporters that play crucial roles in various biological processes, particularly plant stress responses. However, no information is available yet for the CaSWEET family in chickpea. Here, we identified all putative CaSWEET members in chickpea, and obtained their major characteristics, including physicochemical patterns, chromosomal distribution, subcellular localization, gene organization, conserved motifs and three-dimensional protein structures. Subsequently, we explored available transcriptome data to compare spatiotemporal transcript abundance of CaSWEET genes in various major organs. Finally, we studied the changes in their transcript levels in leaves and/or roots following dehydration and exogenous abscisic acid treatments using RT-qPCR to obtain valuable information underlying their potential roles in chickpea responses to water-stress conditions. Our results provide the first insights into the characteristics of the CaSWEET family members and a foundation for further functional characterizations of selected candidate genes for genetic engineering of chickpea.",Article,"Agriculture Technology
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4713/2/GENE146210.pdf,Faculty of Agriculture Technology (FAT),2022
"Application of GNSS Reflectometry in Water Level Monitoring using Low-cost GNSS Antenna: A Case Study in Tam Giang Lagoon, Thua Thien Hue Province",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4810/,"Lan, Vu PhuongCuong, Ha MinhBac, Nguyen PhuongHoa, Dinh Thi BaoManh, Pham VanCuong, Doan QuangDuy, Nguyen HuuPhD Minh Cuong HA","Extreme hydrological events become increasingly unpredictable due to climate change and sea-level rise, highlighting the importance of coastal sea level monitoring. This study aims to develop a Global Navigation Satellite System (GNSS) reflectometry technology that uses low-cost multi-frequency antennas to measure water levels. A multi-frequency GNSS antenna was installed in the Tam Giang lagoon area, Thua Thien Hue province, to collect data of GPS/GLONASS/Galileo/Beidou satellites at 1Hz from April 10 to April 29, 2022. Water level elevation is calculated from GNSS reflectometry data using Interference Pattern Technical (IPT) based on Signal-to-Noise Ratio (SNR). After filtering, the water level results are validated by data from the water level sensor located in the same location. The Root Mean Square Error between the water level from the GNSS - Reflectometry (GNSS– R) and the in situ measurement is 0,049 m and the correlation coefficient reaches 0,93 when combining different frequencies. The study results demonstrate that the multi-frequency GNSS-R station can be used as an additional method to measure water levels with an accuracy comparable to that of a standard tidal gauge. In addition, the study results also show the sensitivity of the GNSS reflected signal to weather conditions and the state of the sea surface, which is the basis for forecasting and early warning of storm surge extremes from GNSS reflectometry data.",Article,Aerospace Engineering,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4810/1/4878-49-12819-1-10-20221216.pdf,School of Aerospace Engineering (SAE),2022
Comparison of Numerical and Experimental Methods in Determining Boundary Layer of Axisymmetric Model,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4735/,"Le, Anh DinhDr Anh Le Dinh",,Article,"Aerospace Engineering
Engineering Physics
Scopus-indexed journals
ISI/Scopus indexed conference",,School of Aerospace Engineering (SAE),2022
Study of Thermodynamic Effect on the Mechanism of Flashing Flow under Pressurized Hot Water by a Homogeneous Model,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4559/,"Le, Anh DinhDr Anh Le Dinh","The flashing flow in a Moby_Dick converging-diverging nozzle under pressurized hot water from 460.5 K to 483.5 K is simulated using a homogeneous compressible water-vapor two-phase flow model. The kinematic and thermodynamic mass transfer are accessed using the cavitation model based on the Hertz-Knudsen-Langmuir equation. Our simplified thermodynamic model is coupled with the governing equations to capture the phase-change heat transfer. This numerical method proved its reliability through a comparison with available experimental data of flow parameters inside the nozzle. Consequently, the present numerical method shows good potential for simulating the flashing flow under pressurized hot water conditions. The satisfying prediction of averaged flow parameters with a slight improvement compared to reference numerical data is reproduced. The results confirm a noticeable impact of the thermodynamic effect on the mechanism of flashing flow, resulting in a considerable decrease in the flow temperature and the saturated vapor pressure. The flashing non-equilibrium is significantly decreased, forcing the flashing flow to be classified as the usual cavitation behavior and better suited to homogeneous model. While the temperature drop is highly dependent on evaporation, the thermodynamic suppression is influenced by the condensation. The suppression effect, unobserved in water at a lower temperature in previous studies, is noticeable for the pressurized hot water flow characterized by the cavitation mechanism. The vapor void fraction decreased considerably in the radial and axial directions as the water temperature rose to 483.5 K in this study.",Article,"Aerospace Engineering
Engineering Mechanics
ISI-indexed journals",,School of Aerospace Engineering (SAE),2022
Modified Savonius Wind Turbine for Wind Energy Harvesting in Urban Environments,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4714/,"Le, Anh DinhBanh, Duc MinhTam, Hoang VanHung, Tran TheDr Anh Le Dinh",,Article,"Aerospace Engineering
Engineering Mechanics
Engineering Physics
ISI-indexed journals",,School of Aerospace Engineering (SAE),2022
Assessment of Flow Fluctuation Pressure Models for Simulating the Cavitating Flow,https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4715/,"Le, Anh DinhLe, Linh NgocTruong, Anh VietTran, Hung TheDr Anh Le Dinh",,Article,"Aerospace Engineering
Engineering Mechanics
Engineering Physics
ISI-indexed journals",,School of Aerospace Engineering (SAE),2022
Genome-Wide Identification and Analysis of Genes Encoding Putative Heat Shock Protein 70 in Papaya (Carica papaya),https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4737/,"Le, Thi ManTran, Thi Thanh HuyenVu, Xuan QuyenChu, Duc HaPham, Chau ThuyLe, Thi Ngoc QuynhLa, Viet HongCao, Phi BangPh.D. Ha Chu","Background and Objective: In high plants, the 70 kDa heat stress proteins (Hsp70-s) have been regarded as one of the vital components of the cellular network of chaperones and folding catalysts that play important roles in numerous biological processes during growth and development. The Hsp70 families have been reported in many plant species, unfortunately, no information on this important protein family in papaya (Carica papaya). The objective of this study was to provide comprehensive information on the CpHsp70 family in papaya. Materials and Methods: The CpHsp70 genes in the papaya genome were identified by a basic local alignment search tool against the papaya genome database by using well-known Arabidopsis Hsp70-s. Sequences were then analyzed by various bioinformatics tools to investigate the characteristics of the CpHsp70 family. Results: A total of 12 members of the CpHsp70 family has been identified and characterized in papaya. By using various computational tools, these results revealed that all general characteristics of the CpHsp70 family, like physic-chemical parameters, gene structure, phylogenetic tree and subcellular localization were provided. The transcriptome atlas was applied to re-analyze the expression patterns of genes encoding the CpHsp70 family in major tissues/organs during the growth and development of papaya plants. Conclusion: Results from this work exhibited the characteristics and expression analysis of the CpHsp70 genes of this important tropical fruit crop. Taken together, this study could provide a solid foundation of the CpHsp70 family, which will be helpful in the construction of stress tolerance in papaya plants",Article,"Agriculture Technology
ISI-indexed journals",https://eprints.uet.vnu.edu.vn/eprints/id/eprint/4737/1/Genome-Wide%20Identification%20and%20Analysis%20of%20Genes%20Encoding%20Putative%20Heat%20Shock%20Protein%2070%20in%20Papaya%20%28Carica%20papaya%29.pdf,Faculty of Agriculture Technology (FAT),2022
